词牌名,作者,韵律
竹枝 ,皇甫松,平平仄仄仄平平。平平仄仄仄平平。
竹枝 ,皇甫松,平平平平仄仄仄。仄平仄仄平平仄。
竹枝 ,孙光宪,平平平仄仄平平。仄仄平平仄仄平。平仄平平平仄仄，仄平平仄仄平平。
归字谣 ,张孝祥,平。仄仄平平仄仄平。平平仄，平仄仄平平。
渔父引 ,顾况,平仄平平仄平。仄平仄仄平平。平平仄仄平平。
閒中好 ,段成式,平平仄，平仄仄平平。仄仄平平仄，平平平仄平。
閒中好 ,郑符,平平仄，仄仄平平仄。仄仄平仄平，平平仄平仄。
纥那曲 ,刘禹锡,平仄仄平平。仄平平仄平。平平仄平仄，平仄仄平平。
拜新月 ,李端,平平仄平仄，仄仄仄平仄。仄仄平仄平，仄平平平仄。
梧桐影 ,吕岩,平仄平，平平仄。平仄仄平平仄平，平平仄仄平平仄。
啰唝曲 ,刘采春,仄仄平平仄，平平平仄平。仄平平仄仄，平仄仄平平。
啰唝曲 ,刘采春,仄仄仄平平。平平仄仄平。平平仄仄仄，平仄仄平平。
啰唝曲 ,刘采春,平仄平平仄仄平。平平仄仄仄平平。仄平仄仄平平仄，仄仄平平仄仄平。
醉妆词 ,王衍,仄平仄。仄平仄。仄仄平平仄。仄平仄。仄平仄。仄仄平平仄。
庆宣和 ,张可久,平仄平平仄仄平。仄仄平平。仄仄平平仄平平。仄仄。仄仄。
南歌子 ,温庭筠,仄仄平平仄，平平仄仄平。平仄仄平平。仄平平仄仄，仄平平。
南歌子 ,张泌,仄仄平平仄，平平仄仄平。仄平平仄仄平平。平仄仄平平仄，仄平平。
南歌子 ,毛熙震,仄仄平平仄，平平仄仄平。平平仄仄仄平平。仄仄仄平平仄、仄平平。仄仄平平仄，平平仄仄平。仄平平仄仄平平。仄仄平平平仄、仄平平。
南歌子 ,辛弃疾,仄仄平平仄，平平平仄平。平平平仄仄平平。仄仄平平、仄仄仄平平。仄仄平平仄，平平仄仄平。仄平平仄仄平平。仄仄平平、仄仄仄平平。
南歌子 ,无名氏,仄仄平平仄，平平仄仄平。仄平平仄仄平平。平仄平平、平仄仄平平。平仄平平仄，平平仄仄平。仄平平仄仄平平。仄仄平平、平仄仄平平。
南歌子 ,周邦彦,仄仄平平仄，平平仄仄平。仄平平仄仄平平。仄仄平平平仄、平仄平平。仄仄平平仄，平平仄仄平。仄平平仄仄平平。平仄仄平平仄、仄仄平平。
