词牌名,作者,韵律,中,平,仄,总数,分段字数
竹枝 ,皇甫松,平平仄仄仄平平。平平仄仄仄平平。,0,8,6,14,"[7, 7]"
竹枝 ,皇甫松,平平平平仄仄仄。仄平仄仄平平仄。,0,7,7,14,"[7, 7]"
竹枝 ,孙光宪,平平平仄仄平平。仄仄平平仄仄平。平仄平平平仄仄，仄平平仄仄平平。,0,16,12,28,"[7, 7, 7, 7]"
归字谣 ,张孝祥,平。仄仄平平仄仄平。平平仄，平仄仄平平。,0,9,7,16,"[1, 7, 3, 5]"
渔父引 ,顾况,平仄平平仄平。仄平仄仄平平。平平仄仄平平。,0,11,7,18,"[6, 6, 6]"
閒中好 ,段成式,平平仄，平仄仄平平。仄仄平平仄，平平平仄平。,0,11,7,18,"[3, 5, 5, 5]"
閒中好 ,郑符,平平仄，仄仄平平仄。仄仄平仄平，平平仄平仄。,0,9,9,18,"[3, 5, 5, 5]"
纥那曲 ,刘禹锡,平仄仄平平。仄平平仄平。平平仄平仄，平仄仄平平。,0,12,8,20,"[5, 5, 5, 5]"
拜新月 ,李端,平平仄平仄，仄仄仄平仄。仄仄平仄平，仄平平平仄。,0,9,11,20,"[5, 5, 5, 5]"
梧桐影 ,吕岩,平仄平，平平仄。平仄仄平平仄平，平平仄仄平平仄。,0,12,8,20,"[3, 3, 7, 7]"
啰唝曲 ,刘采春,仄仄平平仄，平平平仄平。仄平平仄仄，平仄仄平平。,0,11,9,20,"[5, 5, 5, 5]"
啰唝曲 ,刘采春,仄仄仄平平。平平仄仄平。平平仄仄仄，平仄仄平平。,0,10,10,20,"[5, 5, 5, 5]"
啰唝曲 ,刘采春,平仄平平仄仄平。平平仄仄仄平平。仄平仄仄平平仄，仄仄平平仄仄平。,0,14,14,28,"[7, 7, 7, 7]"
醉妆词 ,王衍,仄平仄。仄平仄。仄仄平平仄。仄平仄。仄平仄。仄仄平平仄。,0,8,14,22,"[3, 3, 5, 3, 3, 5]"
庆宣和 ,张可久,平仄平平仄仄平。仄仄平平。仄仄平平仄平平。仄仄。仄仄。,0,10,12,22,"[7, 4, 7, 2, 2]"
南歌子 ,温庭筠,仄仄平平仄，平平仄仄平。平仄仄平平。仄平平仄仄，仄平平。,0,12,11,23,"[5, 5, 5, 5, 3]"
南歌子 ,张泌,仄仄平平仄，平平仄仄平。仄平平仄仄平平。平仄仄平平仄，仄平平。,0,14,12,26,"[5, 5, 7, 6, 3]"
南歌子 ,毛熙震,仄仄平平仄，平平仄仄平。平平仄仄仄平平。仄仄仄平平仄、仄平平。仄仄平平仄，平平仄仄平。仄平平仄仄平平。仄仄平平平仄、仄平平。,0,27,25,52,"[5, 5, 7, 6, 3, 5, 5, 7, 6, 3]"
南歌子 ,辛弃疾,仄仄平平仄，平平平仄平。平平平仄仄平平。仄仄平平、仄仄仄平平。仄仄平平仄，平平仄仄平。仄平平仄仄平平。仄仄平平、仄仄仄平平。,0,28,24,52,"[5, 5, 7, 4, 5, 5, 5, 7, 4, 5]"
南歌子 ,无名氏,仄仄平平仄，平平仄仄平。仄平平仄仄平平。平仄平平、平仄仄平平。平仄平平仄，平平仄仄平。仄平平仄仄平平。仄仄平平、平仄仄平平。,0,30,22,52,"[5, 5, 7, 4, 5, 5, 5, 7, 4, 5]"
南歌子 ,周邦彦,仄仄平平仄，平平仄仄平。仄平平仄仄平平。仄仄平平平仄、平仄平平。仄仄平平仄，平平仄仄平。仄平平仄仄平平。平仄仄平平仄、仄仄平平。,0,29,25,54,"[5, 5, 7, 6, 4, 5, 5, 7, 6, 4]"
南歌子 ,石孝友,平仄平平仄，平平平仄仄。平平平仄仄平仄。仄仄平平、平仄仄平仄。平仄平平仄，仄平平仄仄。仄平平仄仄平仄。仄仄仄平、平仄仄平仄。,0,25,27,52,"[5, 5, 7, 4, 5, 5, 5, 7, 4, 5]"
荷叶杯 ,温庭筠,仄仄仄平平仄。平仄。仄平平。仄平平仄仄平仄。平仄。仄平平。,0,11,12,23,"[6, 2, 3, 7, 2, 3]"
荷叶杯 ,顾夐,平仄仄平平仄。仄仄。平仄仄平平。仄平平仄仄平平。平仄平。平仄平。,0,14,12,26,"[6, 2, 5, 7, 3, 3]"
荷叶杯 ,韦庄,仄仄仄平平仄。平仄。平仄仄平平。仄平平仄仄平平。平仄仄平平。平仄仄平平仄。平仄。平仄仄平平。平平平仄仄平平。平仄仄平平。,0,28,22,50,"[6, 2, 5, 7, 5, 6, 2, 5, 7, 5]"
回波乐 ,李景伯,平平仄平仄平。平平仄仄平平。仄仄仄平平仄，平平仄仄平平。,0,14,10,24,"[6, 6, 6, 6]"
回波乐 ,无名氏,平平仄平仄仄。仄仄仄仄仄仄。仄平仄仄平平，仄仄平平仄仄。,0,8,16,24,"[6, 6, 6, 6]"
舞马词 ,张说,仄平仄仄平平。平平仄仄平平。仄仄平平仄仄，平平仄仄平平。,0,13,11,24,"[6, 6, 6, 6]"
舞马词 ,张说,平仄平平仄仄，仄平仄仄平平。平仄仄平平仄，平平仄仄平平。,0,13,11,24,"[6, 6, 6, 6]"
三台 ,王建,平仄平平仄仄，仄平仄仄平平。平仄平平仄仄，仄平平仄平平。,0,13,11,24,"[6, 6, 6, 6]"
三台 ,王建,仄平平仄平平。仄仄平仄平平。平平仄平仄仄，仄平仄仄平平。,0,13,11,24,"[6, 6, 6, 6]"
柘枝引 ,无名氏,平平仄仄仄平平。仄仄仄平平。平仄平平仄，平平仄仄仄平平。,0,13,11,24,"[7, 5, 5, 7]"
塞姑 ,无名氏,仄仄平平仄仄。仄仄平平仄仄。平仄平平仄平，仄仄平平平仄。,0,11,13,24,"[6, 6, 6, 6]"
晴偏好 ,李霜崖,平平平仄平平仄。平平仄仄平平仄。平平仄。平平仄仄平平仄。,0,15,9,24,"[7, 7, 3, 7]"
凭阑人 ,邵亨贞,平仄平平仄仄平。平仄平平平仄平。平平平仄平。仄平平仄平。,0,16,8,24,"[7, 7, 5, 5]"
凭阑人 ,倪瓒,仄仄平平平仄平。平仄平平平仄仄。平平仄仄平。仄平平，平仄平。,0,15,10,25,"[7, 7, 5, 3, 3]"
花非花 ,白居易,平平平，仄平仄。仄仄平，平平仄。平平平仄仄平平，仄仄平平平仄仄。,0,15,11,26,"[3, 3, 3, 3, 7, 7]"
摘得新 ,皇甫松,仄仄平。平平仄仄平。仄平平仄仄，仄平平。平平平仄仄仄仄，仄平平。,0,13,13,26,"[3, 5, 5, 3, 7, 3]"
梧叶儿 ,吴西逸,平平仄，平仄平。平仄仄平平。平平仄，平仄平。仄平平。平仄平平仄仄。,0,16,10,26,"[3, 3, 5, 3, 3, 3, 6]"
梧叶儿 ,张可久,平平仄，平仄平。仄仄仄平平。平平仄，平仄平。仄平平。仄仄平、平平仄平。,0,16,11,27,"[3, 3, 5, 3, 3, 3, 3, 4]"
梧叶儿 ,张可久,平平仄，仄仄平。平仄仄平平。仄仄平平仄，平平仄仄平。平仄仄平平。仄仄平平仄平。,0,17,15,32,"[3, 3, 5, 5, 5, 5, 6]"
梧叶儿 ,张雨,平平仄，仄仄平。平仄仄平平。平平平平仄，平平仄仄平。仄仄仄平平。仄仄仄、平平仄平。,0,18,15,33,"[3, 3, 5, 5, 5, 5, 3, 4]"
