词牌名,韵律,中,平,仄,总数,分段字数
十六字令,平。中仄平平仄仄平。平平仄，中仄仄平平。,2,8,6,16,"[1, 7, 3, 5]"
南歌子,『仄仄平平仄，平平仄仄平』。中平中仄仄平平，中仄中平中仄仄平平。,5,11,10,26,"[5, 5, 7, 9]"
渔歌子,中仄平平仄仄平，中平平仄仄平平。『平仄仄，仄平平』，平平仄仄仄平平。,2,14,11,27,"[7, 7, 3, 3, 7]"
忆江南,平中仄，中仄ˇ仄平平。『中仄中平平仄仄，中平中仄仄平平』。中仄仄平平。,7,10,10,27,"[3, 5, 7, 7, 5]"
潇湘神,〖平仄平，平仄平〗。仄平中仄仄平平。中仄仄平平仄仄，平平平仄仄平平。,2,14,11,27,"[3, 3, 7, 7, 7]"
捣练子,平仄仄，仄平平。仄仄平平仄仄平。中仄仄平平仄仄，仄平平仄仄平平。,1,12,14,27,"[3, 3, 7, 7, 7]"
浪淘沙,中仄平平中仄平，中平中仄仄平平。中平中仄中平仄，中仄平平仄仄平。,8,11,9,28,"[7, 7, 7, 7]"
江南春,平仄仄，仄平平。平平平仄仄，平仄仄平平。平平平仄平平仄，平仄平平平仄平。,0,19,11,30,"[3, 3, 5, 5, 7, 7]"
忆王孙,中平中仄仄平平，中仄平平中仄平。中仄平平仄仄平。仄平平，中仄平平中仄平。,7,14,10,31,"[7, 7, 7, 3, 7]"
江城子,中平中仄仄平平。仄平平，仄平平。中平中仄，中仄仄平平。中仄中平平仄仄，平仄仄，仄平平。,7,15,13,35,"[7, 3, 3, 4, 5, 7, 3, 3]"
长相思,中中平，〖中中平〗。中仄平平中仄平，中平中仄平。中中平，〖中中平〗。中仄平平中仄平，中平中仄平。,16,14,6,36,"[3, 3, 7, 5, 3, 3, 7, 5]"
醉太平,平平仄平，平平仄平，中平中仄平平，仄平平仄平。平平仄平，平平仄平，中平中仄平平，仄平平仄平。,4,24,10,38,"[4, 4, 6, 5, 4, 4, 6, 5]"
玉蝴蝶,平平平仄平平，平仄仄平平。仄仄仄平平，平平仄仄平。平平平仄仄，平仄仄平平。平仄仄平平，仄平平仄平。,0,25,16,41,"[6, 5, 5, 5, 5, 5, 5, 5]"
浣溪沙,中仄中平中仄平，中平中仄仄平平，中平中仄仄平平。『中仄中平平仄仄，中平中仄仄平平』。中平中仄仄平平。,13,16,13,42,"[7, 7, 7, 7, 7, 7]"
巫山一段云,中仄平平仄，平平中仄平。中平中仄仄平平，中仄仄平平。中仄平平仄，平平中仄平。中平中仄仄平平，中仄仄平平。,10,20,14,44,"[5, 5, 7, 5, 5, 5, 7, 5]"
采桑子,中平中仄平平仄，中仄平平。中仄平平，中仄平平中仄平。中平中仄平平仄，中仄平平。中仄平平，中仄平平中仄平。,12,20,12,44,"[7, 4, 4, 7, 7, 4, 4, 7]"
诉衷情,中平中仄仄平平，中仄仄平平。中平中仄平仄，中仄仄平平。平仄仄，仄平平，仄平平。中平平仄，中仄平平，中仄平平。,9,20,15,44,"[7, 5, 6, 5, 3, 3, 3, 4, 4, 4]"
画堂春,中平中仄仄平平，中平中仄平平。中平中仄仄平平，中仄平平。中仄中平中仄，中平中仄平平。中平中仄仄平平，中仄平平。,15,20,12,47,"[7, 6, 7, 4, 6, 6, 7, 4]"
阮郎归,中平平仄仄平平，平平中仄平。仄平平仄仄平平，中平中仄平。平仄仄，仄平平，中平中仄平。中平中仄仄平平，中平中仄平。,10,23,14,47,"[7, 5, 7, 5, 3, 3, 5, 7, 5]"
三字令,平仄仄，仄平平。仄平平。平仄仄，仄平平。仄平平，平仄仄，仄平平。平仄仄，仄平平。仄平平。平仄仄，仄平平。仄平平，平仄仄，仄平平。,0,26,22,48,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
朝中措,中平中仄仄平平，中仄仄平平。中仄中平中仄，中平中仄平平。中平中仄，中平中仄，中仄平平。中仄中平中仄，中平中仄平平。,18,17,13,48,"[7, 5, 6, 6, 4, 4, 4, 6, 6]"
眼儿媚,平仄平平仄平平，中仄仄平平。中平中仄，中平中仄，中仄平平。中平中仄平平仄，中仄仄平平。中平中仄，中平中仄，中仄平平。,14,20,14,48,"[7, 5, 4, 4, 4, 7, 5, 4, 4, 4]"
人月圆,中平中仄平平仄，中仄仄平平。中平中仄，平平仄仄，中仄平平。中平中仄，中平中仄，中仄平平。中平中仄，平平仄仄，中仄平平。,14,19,15,48,"[7, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
柳梢青,中仄平平，中平中仄，仄仄平平。中仄平平，中平中仄，中仄平平。中平中仄平平，仄中仄、平平仄平。中仄平平，中平中仄，中仄平平。,14,21,14,49,"[4, 4, 4, 4, 4, 4, 6, 3, 4, 4, 4, 4]"
太常引,中平中仄仄平平，中仄仄平平。中仄仄平平，仄中仄、平平去平。中平中仄，中平中仄，中仄仄平平。中仄仄平平，仄中仄、平平去平。,12,19,16,47,"[7, 5, 5, 3, 4, 4, 4, 5, 5, 3, 4]"
少年游,中平中仄仄平平，中仄仄平平。中平中仄，中平中仄，中仄仄平平。中平中仄平平仄，中仄仄平平。中仄平平，中平中仄，中仄仄平平。,15,19,16,50,"[7, 5, 4, 4, 5, 7, 5, 4, 4, 5]"
临江仙,中仄中平平仄仄，中平中仄平平。中平中仄仄平平。中平中仄，中仄仄平平。中仄中平平仄仄，中平中仄平平。中平中仄仄平平。中平中仄，中仄仄平平。,18,22,18,58,"[7, 6, 7, 4, 5, 7, 6, 7, 4, 5]"
鹧鸪天,中仄平平中仄平，中平中仄仄平平。『中平中仄平平仄，中仄平平中仄平』。『平仄仄，仄平平』。中平中仄仄平平。中平中仄平平仄，中仄平平中仄平。,14,24,17,55,"[7, 7, 7, 7, 3, 3, 7, 7, 7]"
