词牌名,作者,韵脚
竹枝,皇甫松,"[7,14]"
归字谣,归,"[7,15]"
渔父引,顾况,"[6,12,18]"
闲中好,段成式,"[8,18]"
纥那曲,刘禹锡,"[5,10,20]"
拜新月,李端,"[10,20]"
梧桐影,吕岩,"[6,20]"
啰唝曲,刘采春,"[10,20]"
醉妆词,王衍,"[3,11,22]"
庆宣和,张可久,"[7,11,18,27]"
南歌子,温庭筠,"[10,15,23]"
荷叶杯,温庭筠,"[6,8,11,18,20,23]"
回波乐,李景伯,"[6,12,24]"
舞马词,张说,"[6,12,24]"
三台,王建,"[12,24]"
柘枝引,无名氏,"[7,12,24]"
塞姑,无名氏,"[6,12,24]"
晴偏好,李霜崖,"[7,14,17,24]"
凭阑人,邵亨贞,"[7,14,19,24]"
花非花,白居易,"[6,12,26]"
摘得新,皇甫松,"[3,8,16,26]"
梧叶儿,吴西逸,"[6,11,17,20]"
渔歌子,张志和,"[7,14,20,27]"
忆江南,白居易,"[8,22,27]"
潇湘神,刘禹锡,"[3,13,27]"
章台柳,韩翃,"[3,13,27]"
解红,和凝,"[6,13,27]"
赤枣子,欧阳炯,"[6,13,27]"
南乡子,欧阳炯,"[4,11,18,20,27]"
捣练子,冯延巳,"[6,13,27]"
春晓曲,朱敦儒,"[7,13,27]"
桂殿秋,向子諲,"[6,13,27]"
寿阳曲,张可久,[6]
阳关曲,王维,"[7,14,28]"
欸乃曲,元结,"[7,14,28]"
采莲子,皇甫松,"[7,14,28]"
浪淘沙,皇甫松,"[7,14,28]"
杨柳枝,温庭筠,"[7,14,28]"
八拍蛮,孙光宪,"[7,14,28]"
字字双,王丽贞,"[7,14,21,28]"
十样花,李弥逊,"[6,12,23,28]"
天净沙,乔吉,"[6,12,18,33]"
甘州曲,王衍,"[3,9,16,21,29]"
醉吟商,姜夔,"[10,14,19,25,29]"
干荷叶,刘秉忠,"[6,19,22,29]"
喜春来,张雨,"[14,21,24,29]"
踏歌词,崔液,"[10,20,25,30]"
秋风清,李白,"[3,6,16,30]"
抛球乐,刘禹锡,"[5,10,20,30]"
法驾道引,陈与义,"[11,25,30]"
蕃女怨,温庭筠,"[7,11,17,21,28,31]"
一叶落,后唐庄宗,"[3,6,13,23,31]"
忆王孙,秦观,"[7,14,21,24,31]"
金字经,水冷溪鱼贵,"[10,17,22,35]"
古调笑,蝴蝶,"[2,4,10,16,22,24,26,32]"
遐方怨,温庭筠,"[6,17,24,32]"
后庭花破子,王恽,"[5,10,20,23,32]"
如梦令,后唐庄宗,"[6,12,23,25,27,36]"
诉衷情,莺语,"[2,4,7,10,13,15,18,23,25,30,33]"
西溪子,牛峤,"[6,12,18,21,27,30,33]"
天仙子,皇甫松,"[7,14,24,27,34]"
风流子,孙光宪,"[6,12,24,26,28,34]"
归自谣,春艳艳,"[3,10,17,24,27,34]"
饮马歌,曹勋,"[5,10,15,20,31,34]"
定西番,温庭筠,"[6,12,15,21,26,32,35]"
江城子,韦庄,"[7,10,13,22,35]"
望江怨,牛峤,"[3,10,15,22,25,35]"
长相思,白居易,"[3,16,21,24,37,42]"
思帝乡,温庭筠,"[2,7,16,27,36]"
相见欢,薛昭蕴,"[6,9,18,21,24,27,36]"
河满子,和凝,"[12,24,36]"
风光好,欧良,"[3,6,13,16,23,26,33,36]"
误桃源,无名氏,"[10,15,18,28,36]"
望梅花,和凝,"[6,12,19,25,32,38]"
醉太平,刘过,"[4,8,14,19,23,27,33,38]"
上行杯,孙光宪,"[13,20,24,30,32,34,38]"
感恩多,牛峤,"[5,10,15,18,27,39]"
长命女,冯延巳,"[3,10,15,27,34,39]"
春光好,和凝,"[6,9,18,30,40]"
酒泉子,温庭筠,"[4,10,16,19,26,31,37,40]"
怨回纥,皇甫松,"[10,20,30,40]"
生查子,韩翃,"[10,20,30,40]"
蝴蝶儿,张泌,"[3,6,13,18,28,35,40]"
添声杨柳枝,顾夐,"[7,10,17,20,45,48]"
醉公子,顾夐,"[5,10,15,20,25,30,35,40]"
昭君怨,万俟咏,"[6,12,17,20,26,32,37,40]"
玉蝴蝶,温庭筠,"[6,11,16,21,31,36,41]"
女冠子,温庭筠,"[4,10,13,23,33,41]"
中兴乐,毛文锡,"[7,13,16,18,21,28,31,35,37,41]"
纱窗恨,毛文锡,"[7,10,17,20,34,41]"
醉花间,毛文锡,"[3,14,24,29,34,44]"
点绛唇,冯延巳,"[11,15,20,29,32,36,41]"
平湖乐,王恽,"[7,32,57]"
归国遥,温庭筠,"[2,9,15,20,26,31,37,42]"
恋情深,毛文锡,"[7,11,18,21,28,33,42]"
赞浦子,毛文锡,"[10,20,32,42]"
浣溪沙,韩翃,"[7,14,21,35,42]"
醉垂鞭,张先,"[5,8,11,16,21,26,29,32,37,42]"
雪花飞,黄庭坚,"[12,22,32,42]"
沙塞子,朱敦儒,"[12,21,33,42]"
殿前欢,张可久,"[3,10,26,31,57]"
水仙子,张可久,"[7,14,31,37,48,52]"
霜天晓角,林逋,"[4,9,21,23,26,31,43]"
清商怨,晏殊,"[7,12,21,27,34,43]"
伤春怨,王安石,"[5,11,22,27,32,43]"
菩萨蛮,平林漠漠烟如织,"[7,14,19,24,29,34,39,44]"
采桑子,和凝,"[11,15,22,33,37,44]"
后庭花,毛熙震,"[7,11,18,22,29,33,40,44]"
诉衷情令,晏殊,"[7,12,23,29,32,44]"
减字木兰花,欧阳修,"[4,11,15,22,26,33,37,44]"
卜算子,苏轼,"[10,22,32,44]"
一落索,无名氏,"[6,10,22,28,32,44]"
好时光,唐明皇,"[12,24,35,45]"
谒金门,韦庄,"[3,9,16,21,27,33,40,45]"
柳含烟,毛文锡,"[6,19,22,29,35,42,45]"
杏园春,尹鹗,"[6,12,19,22,35,42,45]"
好事近,宋祁,"[11,22,34,45]"
华清引,苏轼,"[7,11,22,29,35,45]"
天门谣,贺铸,"[5,12,15,20,28,35,38,45]"
忆闷令,取次临鸾匀画浅,"[7,12,23,28,33,45]"
散余霞,毛滂,"[7,12,23,29,34,45]"
好女儿,黄庭坚,"[5,10,21,26,33,45]"
