词组,词性,词频
人间,名词,66
风流,名词,53
西风,人名,50
风雨,名词,50
风月,名词,39
青山,地名,38
春风,名词,34
东风,名词,32
功名,名词,32
千古,地名,31
白发,人名,31
平生,名词,30
万事,名词,25
梅花,人名,25
歌舞,名词,24
渊明,形容词,23
依旧,状态词,23
先生,名词,22
行人,名词,21
儿童,名词,21
老子,名词,20
富贵,形容词,20
思量,名词,19
斜阳,名词,19
笙歌,名词,18
长安,地名,18
芳草,名词,17
悠悠,状态词,17
无人,名词,17
匆匆,状态词,15
江头,地名,15
秋水,人名,15
清溪,地名,15
故人,名词,15
多情,名词,15
黄花,名词,15
新词,名词,14
文章,名词,14
殷勤,人名,14
落日,名词,14
流水,名词,13
断肠,名词,13
时节,名词,13
黄菊,人名,13
消息,名词,13
凄凉,形容词,13
江山,地名,12
浮云,名词,12
主人,名词,12
佳人,名词,12
父老,名词,12
精神,名词,12
儿女,名词,12
扁舟,名词,12
君家,名词,12
那堪,人名,12
堂上,名词,11
东篱,地名,11
桃李,名词,11
阑干,名词,11
尘埃,名词,11
春色,名词,11
黄金,名词,11
行云,名词,11
崔嵬,人名,11
燕子,人名,11
山头,名词,11
人生,名词,11
空山,名词,11
小窗,名词,11
归路,名词,11
溪山,地名,11
英雄,地名,11
直须,名词,10
西湖,地名,10
江南,地名,10
春光,名词,10
杨柳,人名,10
云烟,名词,10
溪头,名词,10
诗书,名词,10
清风,名词,9
秋风,人名,9
歌声,名词,9
婆娑,状态词,9
白头,名词,9
人世,名词,9
千金,名词,9
诗句,名词,9
温柔,形容词,9
封侯,人名,9
青青,人名,9
金印,人名,9
丘壑,名词,9
天地,名词,9
沧浪,地名,9
阳关,地名,9
西北,地名,9
古人,名词,9
垂杨,名词,9
管弦,名词,9
貂蝉,名词,9
旌旗,名词,9
无情,名词,9
东家,名词,8
西园,地名,8
山林,地名,8
牡丹,地名,8
草木,名词,8
咫尺,名词,8
窈窕,形容词,8
清明,形容词,8
憔悴,形容词,8
衣冠,名词,8
风景,名词,8
流莺,名词,8
笑语,名词,8
颜色,名词,8
蛾眉,名词,8
人道,名词,7
东南,地名,7
江湖,地名,7
东山,地名,7
神州,地名,7
江海,地名,7
长亭,地名,7
玲珑,形容词,7
寂寞,形容词,7
重重,形容词,7
翠竹,人名,7
费尽,人名,7
寻思,人名,7
玉殿,人名,7
云雨,人名,7
须信,人名,7
杜鹃,人名,7
文字,名词,7
酒杯,名词,7
事业,名词,7
行乐,名词,7
将军,名词,7
过眼,名词,7
春水,名词,7
落花,名词,7
珠帘,名词,7
烟雨,名词,7
特地,名词,7
白鸟,名词,7
风味,名词,7
自要,形容词,6
风波,名词,6
参差,名词,6
新诗,名词,6
醉乡,名词,6
世间,名词,6
晚风,名词,6
渔樵,名词,6
官府,名词,6
绿阴,名词,6
人家,名词,6
冰雪,名词,6
肠断,名词,6
诗翁,名词,6
画图,名词,6
草草,名词,6
飞鸟,名词,6
杯酒,名词,6
危楼,名词,6
寒食,名词,6
丝竹,名词,6
诗酒,名词,6
人物,名词,6
海棠,名词,6
杯盘,名词,6
情怀,名词,6
次第,名词,6
三山,地名,6
潇湘,地名,6
卧龙,地名,6
南山,地名,6
高山流水,地名,6
溪南,地名,6
灵均,形容词,6
清愁,形容词,6
寻常,形容词,6
丹桂,人名,6
如云,人名,6
凤凰,人名,6
松竹,人名,6
醉里,人名,6
无聊,形容词,6
茫茫,状态词,6
夕阳,地名,5
老病,名词,5
筋力,名词,5
平地,名词,5
生涯,名词,5
妙手,名词,5
处士,名词,5
关心,名词,5
游人,名词,5
菊花,名词,5
汗漫,名词,5
鱼鸟,名词,5
风光,名词,5
野马,名词,5
锦字,名词,5
芙蓉,名词,5
西子,名词,5
遗恨,名词,5
春草,名词,5
回廊,名词,5
杯中物,名词,5
图画,名词,5
字字,名词,5
手种,名词,5
洞庭,名词,5
花枝,名词,5
冰壶,名词,5
风露,名词,5
问君,名词,5
高楼,名词,5
野老,名词,5
水云,名词,5
提壶,名词,5
重阳,地名,5
北山,地名,5
扬州,地名,5
青云,地名,5
山河,地名,5
湖海,地名,5
苍苔,人名,5
何曾,人名,5
牛羊,人名,5
悠然,状态词,5
袅袅,状态词,5
春江,人名,5
萧然,人名,5
明光,人名,5
庄周,人名,5
刘郎,人名,5
白鹭,人名,5
稼轩,人名,5
平章,人名,5
丹青,人名,5
白云,人名,5
维摩,人名,5
西东,地名,5
山水,地名,5
西山,地名,5
