title,dynasty,author,content
书寿宁寺壁,宋,辛弃疾,门前幽径踏苍苔，犹忆前回信步来。午醉正酣归未得，斜阳古殿橘花开。
书停云壁 其一,宋,辛弃疾,学作尧夫自在诗，何曾因物说天机。斜阳草舍迷归路，却与牛羊作伴归。
书停云壁 其二,宋,辛弃疾,万事随缘无所为，万法皆空无所思。惟有一条生死路，古今来往更何疑。
书清凉境界壁 其二,宋,辛弃疾,江左何时见王谢，风流且对竹间梅。最怜飞雪苍苔上，时有珍禽蹴地来。
书渊明诗后,宋,辛弃疾,渊明避俗未闻道，此是东坡居士云。身似枯株心似水，此非闻道更谁闻。
书鹤鸣亭壁,宋,辛弃疾,翠竹栽成占一丘，清溪映带极风流。山翁一向贪奇趣，更引飞泉在上头。
元日,宋,辛弃疾,老病忘时节，空斋晓尚眠。儿童唤翁起，今日是新年。
止酒,宋,辛弃疾,渊明爱酒得之天，岁晚还吟止酒篇。日醉得非促龄具，只今病渴已三年。
再用韵,宋,辛弃疾,欲把身心入太虚，要须勤著净工夫。古人有句须参取，穷到今年锥也无。
再用韵,宋,辛弃疾,自古蛾眉嫉者多，须防按剑向随和。此身更似沧浪水，听取当年孺子歌。
再用儒字韵二首 其二,宋,辛弃疾,是是非非好读书，莫将名实自相诬。由来废冢谁为者，诗礼相传大小儒。
再用儒字韵二首 其一,宋,辛弃疾,人才长与世相疏，若谓无才即厚诬。方朔长身无饭吃，人间饱死几侏儒。
同杜叔高祝彦集观天保庵瀑布主人留饮两日且约牡丹之饮 其一,宋,辛弃疾,竹杖芒鞋看瀑回，暮年筋力倦崔嵬。桃花落尽无春思，直待牡丹开后来。
读语孟二首 其二,宋,辛弃疾,屏去佛经与道书，只将语孟味真腴。出门俯仰见天地，日月光中行坦途。
江山庆云桥 其二,宋,辛弃疾,断崖老树互撑拄，白水绿畦相灌输。焉得溪南一丘壑，放船画作归来图。
江山庆云桥 其一,宋,辛弃疾,草梢出水已无多，村路瀰漫奈雨何。水底有桥桥有月，只今平地怕风波。
江郎山和韵,宋,辛弃疾,三峰一一青如削，卓立千寻不可干。正直相扶无倚傍，撑持天地与人看。
即事 其二,宋,辛弃疾,百忧常与事俱来，莫把胸中荆棘栽。但只熙熙闲过日，人间无处不春台。
即事 其一,宋,辛弃疾,野人日日献花来，只倩渠侬取意栽。高下参差无次序，要令不似俗亭台。
和任师见寄之韵 其二,宋,辛弃疾,昨梦春风花满枝，是花到眼是新诗。如今梦断春无迹，不记题诗付与谁。
和任师见寄之韵 其三,宋,辛弃疾,几年魂梦隔高门，叹息潭间阙异闻。剩喜风情筋力在，尚能诗似鲍参军。
和任师见寄之韵 其一,宋,辛弃疾,老来功业已蹉跎，买得生涯复不多。十顷芰荷三径菊，醉乡容我住无何。
和李都统诗,宋,辛弃疾,破屋那堪急雨淋，且欣断港运篙深。老农定向中宵望，太岁今年合守心。
和杨民瞻韵,宋,辛弃疾,拄杖闲题祖印来，壁间有句试参怀。从来歌舞新罗袜，不识溪山旧草鞋。
和周显先韵二首 其二,宋,辛弃疾,怒涛千里破空飞，洗尽青衫辇路泥。更惜秋风一帆足，南楼只在远山西。
和周显先韵二首 其一,宋,辛弃疾,暖日晴风晚蝶忙，平林先著夜来霜。寒花毕竟亡聊甚，野菜畦边惨淡黄。
和赵茂嘉郎中双头芍药二首 其二,宋,辛弃疾,当年负鼎去干汤，至味须参芍药芳。岂是调羹双妙手，故教初发劝持觞。
和赵茂嘉郎中双头芍药二首 其一,宋,辛弃疾,昨日梅华同语笑，今朝芍药并芬芳。弟兄殿住春风了，却遣花来送一觞。
和赵晋臣送糟蟹,宋,辛弃疾,人间缓急正须才，郭索能令酒禁开。一水一山十五日，从来能事不相催。
和诸葛元亮韵,宋,辛弃疾,偊泛清溪李郭船，路旁人已羡登仙。看君不似南阳卧，只似哦诗孟浩然。
和郭逢道韵 其一,宋,辛弃疾,枣树平生叹子阳，里歌虽短意偏长。东家昨夜梅花发，愧我分他一半香。
和郭逢道韵 其二,宋,辛弃疾,君家富贵有汾阳，只要文章光焰长。莫为梅花费诗句，细思丹桂是天香。
和傅岩叟梅花二首 其二,宋,辛弃疾,灵均恨不与同时，欲把幽香赠一枝。堪入离骚文字不，当年何事未相知。
和傅岩叟梅花二首 其一,宋,辛弃疾,月澹黄昏欲雪时，小窗犹欠岁寒枝。暗香疏影无人处，唯有西湖处士知。
林贵文买牡丹见赠至彭村偶题,宋,辛弃疾,宝刀和雨剪流霞，送到彭村刺史家。闻道名园春已过，千金还买暨家花。
送剑与傅岩叟,宋,辛弃疾,镆邪三尺照人寒，试与挑灯子细看。且挂空斋作琴伴，未须携去斩楼兰。
郡斋怀隐庵 其二,宋,辛弃疾,空山钟鼓梵王家，小立西风数过鸦。秋色无多谁占断，长廊西畔佛桑花。
郡斋怀隐庵 其一,宋,辛弃疾,天寒秋色入平林，更著西风月下砧。旧日醉吟浑不管，如今节物总关心。
重午日戏书,宋,辛弃疾,青山吞吐古今月，绿树低昂朝暮风。万事有为应有尽，此身无我自无穷。
读书,宋,辛弃疾,是非得失两茫茫，闲把遗书细较量。掩卷古人堪笑处，起来摩腹步长廊。
读邵尧夫诗,宋,辛弃疾,饮酒已输陶靖节，作诗犹爱邵尧夫。若论老子胸中事，除却溪山一事无。
偶作,宋,辛弃疾,至性由来禀太和，善人何少恶人多。君看泻水著平地，正作方圆有几何。
偶题 其二,宋,辛弃疾,人言大道本强名，毕竟名从有处生。昭氏鼓瑟谁解听，亦无亏处亦无成。
